,collection,god
0,Greek Olympians,Zeus
1,Greek Olympians,Athena
2,Greek Olympians,Poseidon
3,Greek Olympians,Aphrodite
4,Greek Olympians,Hermes
5,Greek Olympians,Demeter
6,Greek Olympians,Apollo
7,Greek Olympians,Artemis
8,Greek Olympians,Dionysus
9,Greek Olympians,Hera
10,Greek Olympians,Hephaestus
11,Greek Olympians,Hestia
12,Greek Olympians,Ares
13,Greek Titans,Atlas
14,Greek Titans,Prometheus
15,Greek Titans,Cronus
16,Greek Titans,Coeus
17,Greek Titans,Crius
18,Greek Titans,Hyperion
19,Greek Titans,Iapetus
20,Greek Titans,Oceanus
21,Greek Titans,Rhea
22,Greek Titans,Mnemosyne
23,Greek Titans,Phoebe
24,Greek Titans,Tethys
25,Greek Titans,Theia
26,Greek Titans,Themis
27,Greek Primordial Gods,Chaos
28,Greek Primordial Gods,Erebus
29,Greek Primordial Gods,Eros
30,Greek Primordial Gods,Gaia
31,Greek Primordial Gods,Nyx
32,Greek Primordial Gods,Ourea
33,Greek Primordial Gods,Pontus
34,Greek Primordial Gods,Tartarus
35,Greek Primordial Gods,Uranus
36,Greek Underworld Gods,Erinyes
37,Greek Underworld Gods,Hades
38,Greek Underworld Gods,Hecate
39,Greek Underworld Gods,Moirae
40,Greek Underworld Gods,Persephone
41,Greek Underworld Gods,Thanatos
